DATE,GBRT Fixed_ret12_Long,GBRT Fixed_ret12_Short,GBRT Fixed_ret12_LS,Market
2009-11-30,0.287734717130661,0.18322288990020752,0.10451182723045349,0.2398396149277687
2009-12-31,0.3119201064109802,0.18785975873470306,0.12406034767627716,0.22672974318265915
2010-01-29,0.3177848756313324,0.20168617367744446,0.11609870195388794,0.2368348464369774
2010-02-26,0.3893665075302124,0.21056051552295685,0.17880599200725555,0.2719451442360878
2010-03-31,0.41302838921546936,0.25590595602989197,0.1571224331855774,0.2748583510518074
2010-04-30,0.3135327100753784,0.19455596804618835,0.11897674202919006,0.2038305938243866
2010-05-28,0.20052868127822876,0.14126554131507874,0.059263139963150024,0.1581265687942505
2010-06-30,0.3146105408668518,0.24733540415763855,0.06727513670921326,0.2349785402417183
2010-07-30,0.35036858916282654,0.2886698246002197,0.06169876456260681,0.2857466861605644
2010-08-31,0.2133423537015915,0.2108256220817566,0.0025167316198349,0.18025832250714302
2010-09-30,0.157162606716156,0.16769637167453766,-0.010533764958381653,0.14732092767953872
2010-10-29,-0.08641044795513153,-0.11826923489570618,0.031858786940574646,-0.061127571016550065
2010-11-30,-0.028580693528056145,-0.032023072242736816,0.0034423787146806717,-0.0011356417846400291
2010-12-31,-0.07117325812578201,-0.09316784888505936,0.021994590759277344,-0.0318818231113255
2011-01-31,-0.15313149988651276,-0.17027145624160767,0.01713995635509491,-0.08970662811771035
2011-02-28,-0.10865441709756851,-0.008023438975214958,-0.10063097812235355,-0.03468625354580581
2011-03-31,-0.12110139429569244,-0.05558009445667267,-0.06552129983901978,-0.040747945196926594
2011-04-29,-0.08741701394319534,0.02126256376504898,-0.10867957770824432,-0.031156378658488394
2011-05-31,-0.08880732953548431,-0.09958961606025696,0.010782286524772644,-0.055959047935903075
2011-06-30,-0.11232439428567886,-0.15742062032222748,0.045096226036548615,-0.10339700914919377
2011-07-29,-0.033778320997953415,-0.17265938222408295,0.13888106122612953,-0.05029582986608148
2011-08-31,0.009350892156362534,-0.1447705626487732,0.15412145480513573,-0.027527630305849017
2011-09-30,0.11391320079565048,-0.022341113537549973,0.13625431433320045,0.07828963864594699
2011-10-31,0.3138059079647064,0.16403980553150177,0.14976610243320465,0.24493453800678253
2011-11-30,0.1857558637857437,-0.026842478662729263,0.21259834244847298,0.10615582615137101
2011-12-30,0.17773453891277313,-0.004433137830346823,0.18216767674311996,0.13146806904114783
2012-01-31,0.20101064443588257,0.06171569228172302,0.13929495215415955,0.1545710124075413
2012-02-29,0.20444582402706146,0.006487185135483742,0.19795863889157772,0.1351306477561593
2012-03-30,0.16179731488227844,-0.07110194861888885,0.2328992635011673,0.10032370276749134
2012-04-30,0.18232405185699463,0.01815594919025898,0.16416810266673565,0.11790392752736807
2012-05-31,0.22648866474628448,-0.00022150928271003067,0.22671017402899452,0.13295248488138894
2012-06-29,0.3844579756259918,0.13331542909145355,0.25114254653453827,0.25358349531888963
2012-07-31,0.3021297752857208,0.12669186294078827,0.17543791234493256,0.2011663571000099
2012-08-31,0.40731310844421387,0.22318017482757568,0.18413293361663818,0.2849698018282652
2012-09-28,0.2968997657299042,0.1602625697851181,0.13663719594478607,0.2236626060679555
2012-10-31,0.34535127878189087,0.2111186534166336,0.13423262536525726,0.250156307592988
2012-11-30,0.4889196753501892,0.2945810854434967,0.1943385899066925,0.3074466213583946
2012-12-31,0.5579642057418823,0.3352991044521332,0.22266510128974915,0.3468001291155815
2013-01-31,0.5101516842842102,0.3407597839832306,0.16939190030097961,0.35280781537294387
2013-02-28,0.3797276020050049,0.24966517090797424,0.13006243109703064,0.25368405506014824
2013-03-28,0.4345070719718933,0.3000752329826355,0.1344318389892578,0.30627663880586625
2013-04-30,0.40103015303611755,0.2482609748840332,0.15276917815208435,0.2533717855811119
2013-05-31,0.345712810754776,0.17494377493858337,0.17076903581619263,0.21232295967638493
2013-06-28,0.2725140154361725,0.1071561798453331,0.16535783559083939,0.18463151678442954
2013-07-31,0.31152674555778503,0.23739366233348846,0.07413308322429657,0.24692753404378892
2013-08-30,0.15822474658489227,0.10498247295618057,0.0532422736287117,0.13170680552721023
2013-09-30,0.2581189274787903,0.13291940093040466,0.12519952654838562,0.19615880101919175
2013-10-31,0.11873187869787216,0.02898910455405712,0.08974277414381504,0.08180988375097513
2013-11-29,0.07320085912942886,0.06703821569681168,0.0061626434326171875,0.07511046268045903
2013-12-31,0.05154087394475937,-0.006001487839967012,0.05754236178472638,0.04568485203199089
2014-01-31,0.02465701289474964,-0.01683891750872135,0.04149593040347099,0.02134053474292159
2014-02-28,-0.05149051174521446,-0.02055121771991253,-0.030939294025301933,0.005628569331020117
2014-03-31,-0.038730259984731674,-0.05160585418343544,0.012875594198703766,0.009303989075124263
2014-04-30,-0.019470280036330223,-0.030976222828030586,0.011505942791700363,0.010853119567036629
2014-05-30,0.0029914064798504114,-0.02335912361741066,0.02635053009726107,0.04033098968211561
2014-06-30,0.03222028538584709,0.026730041950941086,0.005490243434906006,0.040095745399594304
2014-07-31,-0.008375025354325771,-0.038290802389383316,0.029915777035057545,-0.009324540616944432
2014-08-29,0.01241341046988964,0.04707882180809975,-0.034665411338210106,0.01858524726703763
2014-09-30,-0.04686632379889488,-0.08714514970779419,0.04027882590889931,-0.0715440146625042
2014-10-31,-0.04611100256443024,-0.10861895233392715,0.06250794976949692,-0.07060749791562557
2014-11-28,0.006684529595077038,-0.1087532490491867,0.11543777864426374,-0.04809686103835702
2014-12-31,-0.01464295107871294,-0.0645841583609581,0.04994120728224516,-0.039076919481158254
2015-01-30,-0.026380030438303947,-0.16199888288974762,0.13561885245144367,-0.08005590885877609
2015-02-27,-0.06310230493545532,-0.25667235255241394,0.19357004761695862,-0.13328617811203003
2015-03-31,-0.10781498998403549,-0.27009832859039307,0.16228333860635757,-0.16999401561915875
2015-04-30,-0.05084970220923424,-0.20828452706336975,0.1574348248541355,-0.11458241567015648
2015-05-29,-0.025651633739471436,-0.23450933396816254,0.2088577002286911,-0.09139949325472116
2015-06-30,-0.028019310906529427,-0.1703147143125534,0.14229540340602398,-0.09458318511024118
2015-07-31,-0.06918533146381378,-0.14182068407535553,0.07263535261154175,-0.07881154119968414
2015-08-31,-0.0032148773316293955,-0.07519301027059555,0.07197813293896616,-0.006555606937035918
2015-09-30,0.06578495353460312,-0.012453675270080566,0.07823862880468369,0.050654864870011806
2015-10-30,0.1473960280418396,0.08367575705051422,0.06372027099132538,0.1242718905210495
2015-11-30,0.05416851118206978,-0.06590769439935684,0.12007620558142662,0.02225498538464308
2015-12-31,0.13709495961666107,-0.060829199850559235,0.1979241594672203,0.0760100744664669
2016-01-29,0.21784979104995728,-0.05183898285031319,0.26968877390027046,0.1470385931432247
2016-02-29,0.3454723358154297,0.18401409685611725,0.16145823895931244,0.2862714111804962
2016-03-31,0.320465624332428,0.2574569284915924,0.06300869584083557,0.3002375543117523
2016-04-29,0.2443217635154724,0.13578112423419952,0.10854063928127289,0.20742180868983268
2016-05-31,0.19020424783229828,0.13213208317756653,0.05807216465473175,0.16599965542554856
2016-06-30,0.15776045620441437,0.08893423527479172,0.06882622092962265,0.15095493271946908
2016-07-29,0.255764901638031,0.12183158844709396,0.13393331319093704,0.1788680821657181
2016-08-31,0.12827947735786438,0.09168270230293274,0.03659677505493164,0.13168361112475396
2016-09-30,0.09065317362546921,0.09520544856786728,-0.004552274942398071,0.10415422841906548
2016-10-31,0.1760173738002777,0.09308473020792007,0.08293264359235764,0.13935088589787484
2016-11-30,0.2502877414226532,0.19380880892276764,0.05647893249988556,0.1979269191622734
2016-12-30,0.20149405300617218,0.16685938835144043,0.03463466465473175,0.1562749095261097
2017-01-31,0.18034909665584564,0.22188162803649902,-0.04153253138065338,0.15213252529501914
2017-02-28,0.17460350692272186,0.2541521489620209,-0.07954864203929901,0.15475769340991974
2017-03-31,0.11321268230676651,0.14138367772102356,-0.02817099541425705,0.0848853461444378
2017-04-28,0.12598897516727448,0.05245976150035858,0.0735292136669159,0.07792987860739231
2017-05-31,0.10477028042078018,0.0728493183851242,0.031920962035655975,0.08358400613069535
2017-06-30,0.19258078932762146,0.200278177857399,-0.007697388529777527,0.15145258679986
2017-07-31,0.13719052076339722,0.14580309391021729,-0.008612573146820068,0.1260566957294941
2017-08-31,0.16114842891693115,0.14571765065193176,0.01543077826499939,0.1252423569560051
2017-09-29,0.14621880650520325,0.1380854845046997,0.00813332200050354,0.167393509298563
2017-10-31,0.10546750575304031,0.13084447383880615,-0.02537696808576584,0.09126410651952029
2017-11-30,-0.02008095756173134,-0.013480952940881252,-0.006600004620850086,-0.010202165105147288
2017-12-29,-0.05383595824241638,-0.0750216394662857,0.021185681223869324,-0.03342174761928618
2018-01-31,-0.15674403309822083,-0.17333196103572845,0.01658792793750763,-0.14326157718896865
2018-02-28,-0.09328438341617584,-0.0885327160358429,-0.004751667380332947,-0.07478231489658356
2018-03-29,-0.016009099781513214,-0.008751990273594856,-0.007257109507918358,7.865591906011104e-05
2018-04-30,-0.05752066522836685,-0.016671206802129745,-0.040849458426237106,-0.011148991622030735
2018-05-31,-0.018107907846570015,-0.019374608993530273,0.0012667011469602585,0.0005977719789370895
2018-06-29,-0.11049461364746094,-0.14530687034130096,0.03481225669384003,-0.09681922271847725
2018-07-31,-0.06679543107748032,-0.08209896087646484,0.015303529798984528,-0.05457378141582012
2018-08-31,-0.09565845131874084,-0.08386975526809692,-0.011788696050643921,-0.06332422941923141
2018-09-28,-0.1486077457666397,-0.15795736014842987,0.009349614381790161,-0.11925331354141236
2018-10-31,-0.10664454102516174,-0.18747663497924805,0.0808320939540863,-0.09493491584435106
2018-11-30,-0.02957942523062229,-0.06493277102708817,0.035353345796465874,0.0029188885353505613
2018-12-31,-0.015458144247531891,0.00418092729523778,-0.01963907154276967,0.028725722822127864
2019-01-31,0.13468551635742188,0.21682658791542053,-0.08214107155799866,0.19691820442676544
2019-02-28,-0.003911642823368311,0.01853259466588497,-0.022444237489253283,0.04538264530710876
2019-03-29,-0.11377904564142227,-0.10665635019540787,-0.007122695446014404,-0.07438866440206766
2019-04-30,-0.28878045082092285,-0.2741762101650238,-0.014604240655899048,-0.27244466096162795
2019-05-31,-0.25367140769958496,-0.1487254947423935,-0.10494591295719147,-0.1879664309322834
2019-06-28,-0.12888723611831665,-0.007015482056885958,-0.12187175406143069,-0.07387121585197746
2019-07-31,-0.18744374811649323,0.05646510422229767,-0.2439088523387909,-0.07191363135352731
2019-08-30,-0.13309751451015472,0.10233158618211746,-0.2354291006922722,-0.021748758014291526
2019-09-30,-0.06604461371898651,0.263008713722229,-0.3290533274412155,0.05683213602751493
2019-10-31,-0.12136555463075638,0.2751971185207367,-0.3965626731514931,0.02662048083730042
2019-11-29,-0.07663409411907196,0.2266567349433899,-0.30329082906246185,0.0182319276034832
2019-12-31,0.04145454615354538,0.3306383490562439,-0.2891838029026985,0.1540787206031382
2020-01-31,0.0822170153260231,0.43502527475357056,-0.35280825942754745,0.19145588390529156
2020-02-28,0.24416100978851318,0.6265901923179626,-0.38242918252944946,0.3091421663761139
2020-03-31,0.47713518142700195,0.8242143988609314,-0.34707921743392944,0.519942082464695
2020-04-30,1.2058765888214111,1.2961784601211548,-0.09030187129974365,1.0919241309165955
2020-05-29,0.8572505116462708,0.8926413655281067,-0.03539085388183594,0.7880864471197129
2020-06-30,0.8359754681587219,0.6015559434890747,0.23441952466964722,0.6967203378677368
2020-07-31,0.710003674030304,0.6276111006736755,0.08239257335662842,0.6374110370874405
2020-08-31,0.6629841923713684,0.4447697699069977,0.21821442246437073,0.513494461774826
2020-09-30,0.5855391621589661,0.4050309956073761,0.18050816655158997,0.47849698066711427
2020-10-30,0.6859918832778931,0.3603069484233856,0.32568493485450745,0.4921340525150299
2020-11-30,0.6800253987312317,0.4406832754611969,0.2393421232700348,0.5304981261491776
2020-12-31,0.34689512848854065,0.09874043613672256,0.24815469235181808,0.21045672781765462
